nts_name	scale	edition	edition_note	province	sheet_name	east_west	utm_zone	style	year_valid	year_print	notes	multiple_sheets	copy	condition	Column 16
001F06	50.0	1.0		NS	Chedabucto Bay	w	20.0	p		1955.0
001K11	50.0	3.0		NL	Trepassey		22.0	p		1985.0
001K11	50.0	2.0		NL	Trepassey		22.0	p		1971.0
001K11	50.0	1.0		NL	Trepassey	e	22.0	p		1954.0
001K11	50.0	1.0		NL	Trepassey	w	22.0	p		1954.0
001K12	50.0	2.0	Provisional ; 	NL	St. Shotts		22.0	p		1971.0
001K12	50.0	1.0		NL	St. Shotts	e	22.0	p		1954.0
001K12	50.0	3.0		NL	St. Shott's		22.0	p		1984.0
001K12	50.0	1.0		NL	St. Shott's		22.0	p
001K13	50.0	1.0		NL	St Mary's	e	22.0	p		1954.0
001K13	50.0	1.0		NL	St Mary's	w	22.0	p		1954.0
001K13	50.0	4.0		NL	St. Mary's		22.0	p		1984.0
001K13	50.0	3.0	Provisional ; 	NL	St. Mary's		22.0	p		1970.0
001K13	50.0	2.0		NL	St. Mary's		22.0
001K14	50.0	4.0		NL	Biscay Bay River		22.0	p		1985.0
001K14	50.0	3.0		NL	Biscay Bay River		22.0
001K14	50.0	2.0	Provisional ; 	NL	Biscay Bay River		22.0	p		1970.0
001K14	50.0	1.0		NL	Biscay Bay River	e	22.0	p		1955.0
001K14	50.0	1.0		NL	Biscay Bay River	w	22.0	p		1955.0
001K15	50.0	3.0		NL	Renews		22.0	p		1982.0
001K15	50.0	2.0	Provisional ; 	NL	Renews		22.0	p		1971.0
001K15	50.0	1.0		NL	Renews	w	22.0	p		1954.0
001K15	50.0	1.0		NL	Renews		22.0
001L13	50.0	4.0		NL	Lamaline		21.0	p		1993.0
001L13	50.0	3.0		NL	Lamaline		21.0	p		1988.0
001L13	50.0	2.0		NL	Lamaline		21.0	p		1970.0
001L13	50.0	1.0		NL	Lamaline	e	21.0	p		1958.0
001L13	50.0	1.0		NL	Lamaline	w	21.0	p		1958.0
001L14	50.0	2.0		NL	St Lawrence		21.0	p		1970.0
001L14	50.0	3.0		NL	St. Lawrence		21.0	p		1988.0
001L14	50.0	1.0		NL	St. Lawrence	e	21.0	p		1957.0
001L14	50.0	1.0		NL	St. Lawrence	w	21.0	p		1957.0
001L16	50.0	3.0		NL	St. Bride's		21.0	p
001L16	50.0	2.0	Provisional ;  	NL	St. Bride's		21.0	p		1971.0
001L16	50.0	1.0		NL	St. Bride's	e	21.0	p		1954.0
001L16	50.0	1.0		NL	St. Bride's		21.0
001M01	50.0	3.0		NL	Ship Cove		21.0	p		1985.0
001M01	50.0	2.0		NL	Ship Cove		21.0
001M01	50.0	1.0		NL	Ship Cove	e	21.0	p		1954.0
001M01	50.0	1.0		NL	Ship Cove		21.0
001M02	50.0	2.0		NL	Jude Island		21.0	p		1988.0
001M02	50.0	1.0		NL	Jude Island	w	21.0	p		1956.0
001M02	50.0	1.0		NL	Jude Island		21.0
001M03	50.0	3.0		NL	Marystown		21.0	p		1988.0
001M03	50.0	2.0		NL	Marystown		21.0	p		1972.0
001M03	50.0	1.0		NL	Marystown	e	21.0	p		1957.0
001M03	50.0	1.0		NL	Marystown	w	21.0	p		1957.0
001M04	50.0	3.0		NL	Grand Bank		21.0	p		1988.0
001M04	50.0	2.0		NL	Grand Bank		21.0	p		1971.0
001M04	50.0	1.0		NL	Grand Bank	e	21.0	p		1957.0
001M04	50.0	1.0		NL	Grand Bank	w	21.0	p		1957.0
001M05	50.0	3.0		NL	Harbour Breton		21.0	p		1988.0
001M05	50.0	2.0	Provisional ; 	NL	Harbour Breton		21.0	p		1970.0
001M05	50.0	1.0		NL	Harbour Breton	e	21.0	p		1956.0
001M05	50.0	1.0		NL	Harbour Breton	w	21.0	p		1956.0
001M06	50.0	3.0		NL	Point Enragée		21.0	p		1988.0
001M06	50.0	2.0	Provisional ; 	NL	Point Enragée		21.0	p		1971.0
